14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.30.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.30.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.50.02_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_18.50.02_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.00.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.00.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.10.02_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.10.02_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.20.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.20.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.30.01_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.30.01_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.40.00_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.40.00_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.55.01_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_19.55.01_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_20.00.02_LOG.bak
14/01/2016 18:06:57 - Deleted Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_20.00.02_LOG.bak
14/01/2016 18:06:57 - Deleting Backup File: C:\BACKUPDB\PanaCIM_2015.12.22_20.10.00_LOG.bak
