2016/01/08 14:04:08: dbpurge.cpp:2316 C:\BACKUPDB\archive
2016/01/08 14:04:19: dbpurge.cpp:1818 Sending Event: Next space check will be done at 01/09/16 22:00:00
2016/01/08 14:04:22: dbpurge.cpp:1818 Next space check will be done at 01/09/16 22:00:00
2016/01/08 14:04:22: dbpurge.cpp:2103 KillDBPurgeEvent already exists.
2016/01/08 14:04:22: dbpurge.cpp:2134 Waiting for events with timeout: 0 seconds
2016/01/08 14:04:22: dbpurge.cpp:2177 Timeout occured while waiting for events.
2016/01/08 14:04:22: dbpurge.cpp:1818 Re-reading system config
2016/01/08 14:04:22: dbpurge.cpp:1818 Next space check will be done at 01/09/16 22:00:00
2016/01/08 14:04:22: dbpurge.cpp:2316 C:\BACKUPDB\archive
2016/01/08 14:04:22: dbpurge.cpp:2134 Waiting for events with timeout: 114938 seconds
2016/01/08 15:01:28: dbpurge.cpp:2152 PurgeNowEvent is set.
2016/01/08 15:01:32: dbpurge.cpp:1818 Re-reading system config
2016/01/08 15:01:32: dbpurge.cpp:1818 Next space check will be done at 01/09/16 22:00:00
2016/01/08 15:01:32: dbpurge.cpp:2316 C:\BACKUPDB\archive
2016/01/08 15:01:32: dbpurge.cpp:1818 Got purge NOW message''.  Purging with option : DPA_BOTHupto 1450969200
2016/01/08 15:02:27: dbpurge.cpp:1915  36 tuples.
2016/01/08 15:02:35: dbpurge.cpp:1888     Backing up tuples from table: dbo.email
2016/01/08 15:02:35: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:02:36: dbpurge.cpp:1888     Backing up tuples from table: dbo.equip_lock_event_history
2016/01/08 15:02:36: dbpurge.cpp:1915  23 tuples.
2016/01/08 15:02:42: dbpurge.cpp:1888     Backing up tuples from table: dbo.equip_lock_instance_history
2016/01/08 15:02:42: dbpurge.cpp:1915  3 tuples.
2016/01/08 15:02:47: dbpurge.cpp:1888     Backing up tuples from table: dbo.expressions
2016/01/08 15:02:47: dbpurge.cpp:1915  136 tuples.
2016/01/08 15:02:53: dbpurge.cpp:1888     Backing up tuples from table: dbo.expression_attr
2016/01/08 15:02:53: dbpurge.cpp:1915  590 tuples.
2016/01/08 15:02:57: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeder_history
2016/01/08 15:02:58: dbpurge.cpp:1915  398 tuples.
2016/01/08 15:03:08: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeder_reel_history
2016/01/08 15:03:09: dbpurge.cpp:1915  388 tuples.
2016/01/08 15:03:22: dbpurge.cpp:1915 Purging feeder_repair_history until 04/14/13 00:00:00
2016/01/08 15:03:23: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeder_repair_history
2016/01/08 15:03:23: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:24: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeder_tag_history
2016/01/08 15:03:24: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:25: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeder_template
2016/01/08 15:03:25: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:27: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeder_type
2016/01/08 15:03:27: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:28: dbpurge.cpp:1888     Backing up tuples from table: dbo.feeders
2016/01/08 15:03:28: dbpurge.cpp:1915  49 tuples.
2016/01/08 15:03:41: dbpurge.cpp:1888     Backing up tuples from table: dbo.floating_scanners
2016/01/08 15:03:42: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:46: dbpurge.cpp:1888     Backing up tuples from table: dbo.laser_power_metrics_uvs
2016/01/08 15:03:46: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:47: dbpurge.cpp:1888     Backing up tuples from table: dbo.inspection
2016/01/08 15:03:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.inspector
2016/01/08 15:03:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.invalid_components_unprocessed
2016/01/08 15:03:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:49: dbpurge.cpp:1888     Backing up tuples from table: dbo.job_detail
2016/01/08 15:03:49: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:03:50: dbpurge.cpp:1888     Backing up tuples from table: dbo.job_history
2016/01/08 15:03:50: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:04:37: dbpurge.cpp:1888     Backing up tuples from table: dbo.job_products
2016/01/08 15:04:37: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:04:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.locate_definition
2016/01/08 15:04:39: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:04:39: dbpurge.cpp:1888     Backing up tuples from table: dbo.locate_values
2016/01/08 15:04:39: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:04:39: dbpurge.cpp:1888     Backing up tuples from table: dbo.location_history
2016/01/08 15:04:40: dbpurge.cpp:1915  750 tuples.
2016/01/08 15:04:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.lock_instance_attributes
2016/01/08 15:04:48: dbpurge.cpp:1915  15 tuples.
2016/01/08 15:04:57: dbpurge.cpp:1888     Backing up tuples from table: dbo.machines
2016/01/08 15:04:57: dbpurge.cpp:1915  3 tuples.
2016/01/08 15:05:12: dbpurge.cpp:1888     Backing up tuples from table: dbo.machines_history
2016/01/08 15:05:14: dbpurge.cpp:1915  14 tuples.
2016/01/08 15:05:24: dbpurge.cpp:1888     Backing up tuples from table: dbo.machine_slot_loc
2016/01/08 15:05:24: dbpurge.cpp:1915  8 tuples.
2016/01/08 15:05:32: dbpurge.cpp:1888     Backing up tuples from table: dbo.machine_slot_loc_history
2016/01/08 15:05:33: dbpurge.cpp:1915  35 tuples.
2016/01/08 15:05:38: dbpurge.cpp:1888     Backing up tuples from table: dbo.machine_slot_to_pu
2016/01/08 15:05:38: dbpurge.cpp:1915  646 tuples.
2016/01/08 15:05:42: dbpurge.cpp:1888     Backing up tuples from table: dbo.machine_slot_to_pu_history
2016/01/08 15:05:43: dbpurge.cpp:1915  2028 tuples.
2016/01/08 15:05:47: dbpurge.cpp:1888     Backing up tuples from table: dbo.manual_data
2016/01/08 15:05:47: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:47: dbpurge.cpp:1888     Backing up tuples from table: dbo.manual_table
2016/01/08 15:05:47: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.msd_location_state_history
2016/01/08 15:05:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.msg_detail
2016/01/08 15:05:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.msg_detail_data
2016/01/08 15:05:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.nc_detail
2016/01/08 15:05:49: dbpurge.cpp:1915  22 tuples.
2016/01/08 15:05:54: dbpurge.cpp:1888     Backing up tuples from table: dbo.nc_summary
2016/01/08 15:05:54: dbpurge.cpp:1915  276 tuples.
2016/01/08 15:05:59: dbpurge.cpp:1888     Backing up tuples from table: dbo.nozzle
2016/01/08 15:05:59: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:59: dbpurge.cpp:1888     Backing up tuples from table: dbo.nozzle_header
2016/01/08 15:05:59: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:59: dbpurge.cpp:1888     Backing up tuples from table: dbo.nozzle_kx
2016/01/08 15:05:59: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:05:59: dbpurge.cpp:1888     Backing up tuples from table: dbo.nozzle_header_kx
2016/01/08 15:06:00: dbpurge.cpp:1915  21 tuples.
2016/01/08 15:06:03: dbpurge.cpp:1888     Backing up tuples from table: dbo.operator
2016/01/08 15:06:03: dbpurge.cpp:1915  16 tuples.
2016/01/08 15:06:08: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_details
2016/01/08 15:06:08: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:08: dbpurge.cpp:1888     Backing up tuples from table: dbo.pattern_details
2016/01/08 15:06:08: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:09: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_details_history
2016/01/08 15:06:09: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:09: dbpurge.cpp:1888     Backing up tuples from table: dbo.panels
2016/01/08 15:06:09: dbpurge.cpp:1915  23 tuples.
2016/01/08 15:06:14: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_barcode_map
2016/01/08 15:06:14: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:14: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_placement_details
2016/01/08 15:06:14: dbpurge.cpp:1915  93 tuples.
2016/01/08 15:06:19: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_placement_header
2016/01/08 15:06:19: dbpurge.cpp:1915  9 tuples.
2016/01/08 15:06:24: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_repair_dtl
2016/01/08 15:06:24: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:24: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_repair_hdr
2016/01/08 15:06:24: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:25: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_strace_details
2016/01/08 15:06:25: dbpurge.cpp:1915  24 tuples.
2016/01/08 15:06:33: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_strace_header
2016/01/08 15:06:33: dbpurge.cpp:1915  14 tuples.
2016/01/08 15:06:45: dbpurge.cpp:1888     Backing up tuples from table: dbo.panel_production_reports_uvs
2016/01/08 15:06:45: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:48: dbpurge.cpp:1888     Backing up tuples from table: dbo.pre_setup_feeder_history
2016/01/08 15:06:48: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:06:50: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_changeover_history
2016/01/08 15:06:50: dbpurge.cpp:1915  7 tuples.
2016/01/08 15:06:56: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_run_history
2016/01/08 15:06:56: dbpurge.cpp:1915  139 tuples.
2016/01/08 15:07:05: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_data
2016/01/08 15:07:05: dbpurge.cpp:1915  43 tuples.
2016/01/08 15:07:21: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_equipment_setup
2016/01/08 15:07:22: dbpurge.cpp:1915  4 tuples.
2016/01/08 15:07:25: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_feeders
2016/01/08 15:07:25: dbpurge.cpp:1915  311 tuples.
2016/01/08 15:07:25: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_feeder_alerts
2016/01/08 15:07:25: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:25: dbpurge.cpp:1888     Backing up tuples from table: dbo.product_setup
2016/01/08 15:07:25: dbpurge.cpp:1915  96 tuples.
2016/01/08 15:07:25: dbpurge.cpp:1888     Backing up tuples from table: dbo.production_alert_history
2016/01/08 15:07:26: dbpurge.cpp:1915  86 tuples.
2016/01/08 15:07:27: dbpurge.cpp:1888     Backing up tuples from table: dbo.production_reports
2016/01/08 15:07:27: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:27: dbpurge.cpp:1888     Backing up tuples from table: dbo.production_reports_gsm
2016/01/08 15:07:27: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:27: dbpurge.cpp:1888     Backing up tuples from table: dbo.production_reports_kx
2016/01/08 15:07:28: dbpurge.cpp:1915  12 tuples.
2016/01/08 15:07:28: dbpurge.cpp:1888     Backing up tuples from table: dbo.production_reports_kx_hdr
2016/01/08 15:07:28: dbpurge.cpp:1915  22 tuples.
2016/01/08 15:07:28: dbpurge.cpp:1888     Backing up tuples from table: dbo.production_reports_uvs
2016/01/08 15:07:28: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:28: dbpurge.cpp:1888     Backing up tuples from table: dbo.msd_reel_data
2016/01/08 15:07:28: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:28: dbpurge.cpp:1888     Backing up tuples from table: dbo.reel_user_data
2016/01/08 15:07:28: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:28: dbpurge.cpp:1888     Backing up tuples from table: dbo.reel_data
2016/01/08 15:07:29: dbpurge.cpp:1915  342 tuples.
2016/01/08 15:07:29: dbpurge.cpp:1888     Backing up tuples from table: dbo.reel_data_history
2016/01/08 15:07:29: dbpurge.cpp:1915  170 tuples.
2016/01/08 15:07:29: dbpurge.cpp:1888     Backing up tuples from table: dbo.report_definition
2016/01/08 15:07:29: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:29: dbpurge.cpp:1888     Backing up tuples from table: dbo.report_parameters
2016/01/08 15:07:29: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:29: dbpurge.cpp:1888     Backing up tuples from table: dbo.root_causes
2016/01/08 15:07:30: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:30: dbpurge.cpp:1888     Backing up tuples from table: dbo.root_causes_equip
2016/01/08 15:07:30: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:30: dbpurge.cpp:1888     Backing up tuples from table: dbo.route_down_time_history
2016/01/08 15:07:30: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:30: dbpurge.cpp:1888     Backing up tuples from table: dbo.route_layout
2016/01/08 15:07:30: dbpurge.cpp:1915  9 tuples.
2016/01/08 15:07:30: dbpurge.cpp:1888     Backing up tuples from table: dbo.routes
2016/01/08 15:07:30: dbpurge.cpp:1915  6 tuples.
2016/01/08 15:07:31: dbpurge.cpp:1888     Backing up tuples from table: dbo.routes_history
2016/01/08 15:07:31: dbpurge.cpp:1915  14 tuples.
2016/01/08 15:07:31: dbpurge.cpp:1888     Backing up tuples from table: dbo.schedule_history
2016/01/08 15:07:31: dbpurge.cpp:1915  0 tuples.
2016/01/08 15:07:31: dbpurge.cpp:1888     Backing up tuples from table: dbo.setup_audit_history
2016/01/08 15:07:31: dbpurge.cpp:1915  28 tuples.
